Entity,Code,Year,Oil per capita (kWh)
Africa,,1965,1064.3536
Africa,,1966,1123.739
Africa,,1967,1091.7719
Africa,,1968,1125.0367
Africa,,1969,1118.1862
Africa,,1970,1190.3859
Africa,,1971,1264.5233
Africa,,1972,1326.809
Africa,,1973,1391.1606
Africa,,1974,1403.0577
Africa,,1975,1431.352
Africa,,1976,1519.1476
Africa,,1977,1573.9017
Africa,,1978,1611.4974
Africa,,1979,1647.8928
Africa,,1980,1699.0265
Africa,,1981,1786.5077
Africa,,1982,1814.8057
Africa,,1983,1836.3589
Africa,,1984,1817.969
Africa,,1985,1812.8654
Africa,,1986,1722.141
Africa,,1987,1766.0182
Africa,,1988,1789.5295
Africa,,1989,1799.1199
Africa,,1990,1779.7166
Africa,,1991,1742.9006
Africa,,1992,1732.2289
Africa,,1993,1706.3066
Africa,,1994,1718.3127
Africa,,1995,1733.8383
Africa,,1996,1727.5974
Africa,,1997,1738.8177
Africa,,1998,1737.328
Africa,,1999,1757.5641
Africa,,2000,1719.2625
Africa,,2001,1695.0035
Africa,,2002,1692.7368
Africa,,2003,1701.2615
Africa,,2004,1736.7056
Africa,,2005,1768.6055
Africa,,2006,1741.1388
Africa,,2007,1761.4183
Africa,,2008,1803.2052
Africa,,2009,1819.7079
Africa,,2010,1847.9781
Africa,,2011,1769.9967
Africa,,2012,1833.5289
Africa,,2013,1851.2953
Africa,,2014,1822.21
Africa,,2015,1825.1935
Africa,,2016,1791.8071
Africa,,2017,1768.0846
Africa,,2018,1741.7183
Africa,,2019,1713.4353
Africa,,2020,1487.8962
Africa,,2021,1584.5016
Africa,,2022,1632.822
Algeria,DZA,1965,1244.2393
Algeria,DZA,1966,1607.2358
Algeria,DZA,1967,1468.7021
Algeria,DZA,1968,1528.8707
Algeria,DZA,1969,1579.2673
Algeria,DZA,1970,1764.847
Algeria,DZA,1971,1944.6864
Algeria,DZA,1972,2086.0066
Algeria,DZA,1973,2225.03
Algeria,DZA,1974,2411.5613
Algeria,DZA,1975,2583.876
Algeria,DZA,1976,2831.289
Algeria,DZA,1977,3081.9358
Algeria,DZA,1978,3096.9795
Algeria,DZA,1979,3595.458
Algeria,DZA,1980,3532.7976
Algeria,DZA,1981,3685.6887
Algeria,DZA,1982,3778.6523
Algeria,DZA,1983,4104.6304
Algeria,DZA,1984,4393.9453
Algeria,DZA,1985,4362.454
Algeria,DZA,1986,4283.666
Algeria,DZA,1987,4201.6494
Algeria,DZA,1988,4090.7686
Algeria,DZA,1989,4175.921
Algeria,DZA,1990,4381.6636
Algeria,DZA,1991,4233.1133
Algeria,DZA,1992,4160.7373
Algeria,DZA,1993,4048.898
Algeria,DZA,1994,3796.072
Algeria,DZA,1995,3621.82
Algeria,DZA,1996,3395.663
Algeria,DZA,1997,3312.638
Algeria,DZA,1998,3363.7388
Algeria,DZA,1999,3259.015
Algeria,DZA,2000,3351.218
Algeria,DZA,2001,3422.1782
Algeria,DZA,2002,3743.8213
Algeria,DZA,2003,3842.4807
Algeria,DZA,2004,3960.2
Algeria,DZA,2005,4072.4167
Algeria,DZA,2006,4182.6045
Algeria,DZA,2007,4601.8936
Algeria,DZA,2008,4915.1836
Algeria,DZA,2009,5118.031
Algeria,DZA,2010,5064.9863
Algeria,DZA,2011,5260.235
Algeria,DZA,2012,5485.565
Algeria,DZA,2013,5620.3384
Algeria,DZA,2014,5725.598
Algeria,DZA,2015,5971.919
Algeria,DZA,2016,5690.82
Algeria,DZA,2017,5482.038
Algeria,DZA,2018,5432.916
Algeria,DZA,2019,5548.5127
Algeria,DZA,2020,4877.268
Algeria,DZA,2021,5006.094
Algeria,DZA,2022,5314.0444
Argentina,ARG,1965,12479.375
Argentina,ARG,1966,12671.285
Argentina,ARG,1967,12775.62
Argentina,ARG,1968,12841.15
Argentina,ARG,1969,13122.488
Argentina,ARG,1970,11677.968
Argentina,ARG,1971,12240.286
Argentina,ARG,1972,11993.199
Argentina,ARG,1973,11878.162
Argentina,ARG,1974,11674.927
Argentina,ARG,1975,10853.022
Argentina,ARG,1976,11039.656
Argentina,ARG,1977,11441.949
Argentina,ARG,1978,10952.181
Argentina,ARG,1979,11593.968
Argentina,ARG,1980,10598.399
Argentina,ARG,1981,9782.691
Argentina,ARG,1982,9162.966
Argentina,ARG,1983,9133.3545
Argentina,ARG,1984,8563.011
Argentina,ARG,1985,7841.8433
Argentina,ARG,1986,8122.2524
Argentina,ARG,1987,8539.722
Argentina,ARG,1988,8468.091
Argentina,ARG,1989,7658.6846
Argentina,ARG,1990,7046.2485
Argentina,ARG,1991,7258.054
Argentina,ARG,1992,7528.1294
Argentina,ARG,1993,7281.8145
Argentina,ARG,1994,7582.0625
Argentina,ARG,1995,7426.967
Argentina,ARG,1996,7341.881
Argentina,ARG,1997,7686.5083
Argentina,ARG,1998,7818.3955
Argentina,ARG,1999,7833.1
Argentina,ARG,2000,7146.8154
Argentina,ARG,2001,6546.032
Argentina,ARG,2002,6146.7207
Argentina,ARG,2003,6204.642
Argentina,ARG,2004,6586.3555
Argentina,ARG,2005,6825.2124
Argentina,ARG,2006,7126.3276
Argentina,ARG,2007,7839.497
Argentina,ARG,2008,7851.157
Argentina,ARG,2009,7423.6875
Argentina,ARG,2010,7966.7827
Argentina,ARG,2011,8186.556
Argentina,ARG,2012,8593.353
Argentina,ARG,2013,9025.606
Argentina,ARG,2014,8871.545
Argentina,ARG,2015,8965.241
Argentina,ARG,2016,8608.202
Argentina,ARG,2017,8432.202
Argentina,ARG,2018,7984.619
Argentina,ARG,2019,7192.507
Argentina,ARG,2020,6399.2114
Argentina,ARG,2021,7909.122
Argentina,ARG,2022,8410.91
Asia,,1965,1174.3967
Asia,,1966,1286.7227
Asia,,1967,1443.804
Asia,,1968,1591.5286
Asia,,1969,1789.0397
Asia,,1970,2002.8114
Asia,,1971,2177.6816
Asia,,1972,2301.2263
Asia,,1973,2557.611
Asia,,1974,2498.6436
Asia,,1975,2429.1172
Asia,,1976,2569.3445
Asia,,1977,2686.0947
Asia,,1978,2804.5593
Asia,,1979,2854.1465
Asia,,1980,2643.7268
Asia,,1981,2567.2295
Asia,,1982,2504.7307
Asia,,1983,2545.4575
Asia,,1984,2619.276
Asia,,1985,2817.835
Asia,,1986,2826.4314
Asia,,1987,2864.7153
Asia,,1988,3013.4062
Asia,,1989,3095.0173
Asia,,1990,3212.0637
Asia,,1991,3264.3298
Asia,,1992,3394.4026
Asia,,1993,3473.5486
Asia,,1994,3597.2532
Asia,,1995,3741.2021
Asia,,1996,3844.896
Asia,,1997,3970.9597
Asia,,1998,3838.8237
Asia,,1999,3905.7239
Asia,,2000,3988.189
Asia,,2001,3975.8142
Asia,,2002,4025.2654
Asia,,2003,4135.3335
Asia,,2004,4333.955
Asia,,2005,4340.5913
Asia,,2006,4405.5117
Asia,,2007,4480.7188
Asia,,2008,4480.599
Asia,,2009,4454.2217
Asia,,2010,4663.885
Asia,,2011,4740.7524
Asia,,2012,4896.301
Asia,,2013,4930.059
Asia,,2014,4958.0947
Asia,,2015,5097.748
Asia,,2016,5232.383
Asia,,2017,5322.1978
Asia,,2018,5356.0547
Asia,,2019,5359.3247
Asia,,2020,5014.0464
Asia,,2021,5155.5728
Asia,,2022,5238.7954
Australia,AUS,1965,17608.203
Australia,AUS,1966,18464.033
Australia,AUS,1967,19848.04
Australia,AUS,1968,21225.518
Australia,AUS,1969,21392.29
Australia,AUS,1970,23040.455
Australia,AUS,1971,23514.574
Australia,AUS,1972,23385.406
Australia,AUS,1973,24560.434
Australia,AUS,1974,25649.025
Australia,AUS,1975,25067.176
Australia,AUS,1976,25346.879
Australia,AUS,1977,26251.754
Australia,AUS,1978,26536.057
Australia,AUS,1979,26577.186
Australia,AUS,1980,25007.438
Australia,AUS,1981,24274.412
Australia,AUS,1982,23525.756
Australia,AUS,1983,20807.504
Australia,AUS,1984,21244.545
Australia,AUS,1985,21082.443
Australia,AUS,1986,20493.438
Australia,AUS,1987,20706.361
Australia,AUS,1988,21298.271
Australia,AUS,1989,21820.873
Australia,AUS,1990,21989.943
Australia,AUS,1991,20995.824
Australia,AUS,1992,21219.582
Australia,AUS,1993,21668.695
Australia,AUS,1994,22217.238
Australia,AUS,1995,23761.453
Australia,AUS,1996,24106.03
Australia,AUS,1997,24228.771
Australia,AUS,1998,23974.746
Australia,AUS,1999,24262.357
Australia,AUS,2000,23976.355
Australia,AUS,2001,23746.979
Australia,AUS,2002,23720.402
Australia,AUS,2003,23364.629
Australia,AUS,2004,23653.416
Australia,AUS,2005,23731.322
Australia,AUS,2006,24118.875
Australia,AUS,2007,24303.893
Australia,AUS,2008,24130.219
Australia,AUS,2009,23274.232
Australia,AUS,2010,23584.307
Australia,AUS,2011,24469.271
Australia,AUS,2012,24700.266
Australia,AUS,2013,25010.486
Australia,AUS,2014,24518.047
Australia,AUS,2015,23953.521
Australia,AUS,2016,23629.111
Australia,AUS,2017,24382.738
Australia,AUS,2018,24424.742
Australia,AUS,2019,23827.363
Australia,AUS,2020,20341.045
Australia,AUS,2021,20666.436
Australia,AUS,2022,21928.844
Austria,AUT,1965,8981.904
Austria,AUT,1966,9805.988
Austria,AUT,1967,10378.516
Austria,AUT,1968,11932.6
Austria,AUT,1969,13069.197
Austria,AUT,1970,14338.809
Austria,AUT,1971,15950.691
Austria,AUT,1972,17120.32
Austria,AUT,1973,18450.338
Austria,AUT,1974,16483.771
Austria,AUT,1975,16703.238
Austria,AUT,1976,18167.67
Austria,AUT,1977,17391.002
Austria,AUT,1978,18725.535
Austria,AUT,1979,19530.852
Austria,AUT,1980,19064.092
Austria,AUT,1981,17264.79
Austria,AUT,1982,16364.553
Austria,AUT,1983,15885.439
Austria,AUT,1984,15452.467
Austria,AUT,1985,15470.002
Austria,AUT,1986,16283.107
Austria,AUT,1987,16753.037
Austria,AUT,1988,16611.531
Austria,AUT,1989,16303.426
Austria,AUT,1990,16760.537
Austria,AUT,1991,17910.152
Austria,AUT,1992,17246.533
Austria,AUT,1993,17249.662
Austria,AUT,1994,17042.188
Austria,AUT,1995,16969.53
Austria,AUT,1996,17533.986
Austria,AUT,1997,17789.555
Austria,AUT,1998,18452.78
Austria,AUT,1999,18100.91
Austria,AUT,2000,17695.607
Austria,AUT,2001,19115.992
Austria,AUT,2002,19410.805
Austria,AUT,2003,20927.86
Austria,AUT,2004,20233.016
Austria,AUT,2005,20010.402
Austria,AUT,2006,19897.7
Austria,AUT,2007,18645.348
Austria,AUT,2008,18412.182
Austria,AUT,2009,17433.861
Austria,AUT,2010,18165.84
Austria,AUT,2011,17208.295
Austria,AUT,2012,16829.88
Austria,AUT,2013,17219.637
Austria,AUT,2014,16381.871
Austria,AUT,2015,16078.458
Austria,AUT,2016,16421.795
Austria,AUT,2017,16578.256
Austria,AUT,2018,16761.139
Austria,AUT,2019,17295.617
Austria,AUT,2020,15001.742
Austria,AUT,2021,15458.235
Austria,AUT,2022,15042.984
Azerbaijan,AZE,1985,14102.963
Azerbaijan,AZE,1986,14526.389
Azerbaijan,AZE,1987,13434.894
Azerbaijan,AZE,1988,13516.213
Azerbaijan,AZE,1989,13022.565
Azerbaijan,AZE,1990,13516.019
Azerbaijan,AZE,1991,12841.299
Azerbaijan,AZE,1992,12340.08
Azerbaijan,AZE,1993,12151.686
Azerbaijan,AZE,1994,11015.117
Azerbaijan,AZE,1995,9845.849
Azerbaijan,AZE,1996,8777.341
Azerbaijan,AZE,1997,8300.265
Azerbaijan,AZE,1998,8689.544
Azerbaijan,AZE,1999,8300.428
Azerbaijan,AZE,2000,9119.347
Azerbaijan,AZE,2001,5746.673
Azerbaijan,AZE,2002,5219.4736
Azerbaijan,AZE,2003,6016.3423
Azerbaijan,AZE,2004,6378.218
Azerbaijan,AZE,2005,7370.2305
Azerbaijan,AZE,2006,6517.206
Azerbaijan,AZE,2007,6361.3394
Azerbaijan,AZE,2008,5063.2544
Azerbaijan,AZE,2009,4225.537
Azerbaijan,AZE,2010,4086.2898
Azerbaijan,AZE,2011,5324.0503
Azerbaijan,AZE,2012,5520.5884
Azerbaijan,AZE,2013,5840.722
Azerbaijan,AZE,2014,5636.089
Azerbaijan,AZE,2015,5655.188
Azerbaijan,AZE,2016,5562.169
Azerbaijan,AZE,2017,5566.207
Azerbaijan,AZE,2018,5725.064
Azerbaijan,AZE,2019,5552.771
Azerbaijan,AZE,2020,5438.253
Azerbaijan,AZE,2021,6154.563
Azerbaijan,AZE,2022,6595.299
Bangladesh,BGD,1971,118.978386
Bangladesh,BGD,1972,143.03516
Bangladesh,BGD,1973,157.5393
Bangladesh,BGD,1974,159.83434
Bangladesh,BGD,1975,182.48637
Bangladesh,BGD,1976,193.09845
Bangladesh,BGD,1977,185.86148
Bangladesh,BGD,1978,193.23328
Bangladesh,BGD,1979,208.921
Bangladesh,BGD,1980,229.84697
Bangladesh,BGD,1981,230.89757
Bangladesh,BGD,1982,221.57127
Bangladesh,BGD,1983,192.73329
Bangladesh,BGD,1984,189.04362
Bangladesh,BGD,1985,205.69975
Bangladesh,BGD,1986,216.49646
Bangladesh,BGD,1987,208.433
Bangladesh,BGD,1988,204.34805
Bangladesh,BGD,1989,218.71628
Bangladesh,BGD,1990,207.45038
Bangladesh,BGD,1991,188.78
Bangladesh,BGD,1992,206.73882
Bangladesh,BGD,1993,227.20375
Bangladesh,BGD,1994,232.29558
Bangladesh,BGD,1995,295.88672
Bangladesh,BGD,1996,297.02542
Bangladesh,BGD,1997,334.94913
Bangladesh,BGD,1998,362.3288
Bangladesh,BGD,1999,317.02026
Bangladesh,BGD,2000,305.64832
Bangladesh,BGD,2001,358.218
Bangladesh,BGD,2002,319.63806
Bangladesh,BGD,2003,321.5577
Bangladesh,BGD,2004,327.4275
Bangladesh,BGD,2005,330.0724
Bangladesh,BGD,2006,327.70767
Bangladesh,BGD,2007,307.3795
Bangladesh,BGD,2008,308.8183
Bangladesh,BGD,2009,281.8134
Bangladesh,BGD,2010,315.3943
Bangladesh,BGD,2011,399.56973
Bangladesh,BGD,2012,449.44836
Bangladesh,BGD,2013,454.81442
Bangladesh,BGD,2014,491.72467
Bangladesh,BGD,2015,589.71606
Bangladesh,BGD,2016,597.4805
Bangladesh,BGD,2017,674.0013
Bangladesh,BGD,2018,761.17267
Bangladesh,BGD,2019,738.48114
Bangladesh,BGD,2020,613.33093
Bangladesh,BGD,2021,754.961
Bangladesh,BGD,2022,892.7106
Belarus,BLR,1985,29244.447
Belarus,BLR,1986,34319.715
Belarus,BLR,1987,33718.176
Belarus,BLR,1988,32464.283
Belarus,BLR,1989,30240.533
Belarus,BLR,1990,29906.248
Belarus,BLR,1991,29263.934
Belarus,BLR,1992,21609.281
Belarus,BLR,1993,16643.604
Belarus,BLR,1994,13604.063
Belarus,BLR,1995,11883.038
Belarus,BLR,1996,11716.043
Belarus,BLR,1997,10291.534
Belarus,BLR,1998,9762.354
Belarus,BLR,1999,8972.6045
Belarus,BLR,2000,8918.5
Belarus,BLR,2001,8675.224
Belarus,BLR,2002,9193.159
Belarus,BLR,2003,9370.433
Belarus,BLR,2004,9241.566
Belarus,BLR,2005,8659.936
Belarus,BLR,2006,10222.61
Belarus,BLR,2007,9345.809
Belarus,BLR,2008,9339.4375
Belarus,BLR,2009,10812.943
Belarus,BLR,2010,9317.34
Belarus,BLR,2011,10168.314
Belarus,BLR,2012,12496.797
Belarus,BLR,2013,9434.13
Belarus,BLR,2014,9608.835
Belarus,BLR,2015,8089.486
Belarus,BLR,2016,8688.403
Belarus,BLR,2017,8639.3125
Belarus,BLR,2018,10055.938
Belarus,BLR,2019,10271.2
Belarus,BLR,2020,9932.783
Belarus,BLR,2021,9480.471
Belarus,BLR,2022,9104.797
Belgium,BEL,1965,20023.686
Belgium,BEL,1966,20310.373
Belgium,BEL,1967,22283.398
Belgium,BEL,1968,25758.953
Belgium,BEL,1969,29608.408
Belgium,BEL,1970,32174.01
Belgium,BEL,1971,32846.41
Belgium,BEL,1972,35408.453
Belgium,BEL,1973,37071.83
Belgium,BEL,1974,32586.107
Belgium,BEL,1975,30879.48
Belgium,BEL,1976,32176.928
Belgium,BEL,1977,31606.168
Belgium,BEL,1978,33677.92
Belgium,BEL,1979,33422.957
Belgium,BEL,1980,30844.746
Belgium,BEL,1981,28229.623
Belgium,BEL,1982,26693.303
Belgium,BEL,1983,24198.533
Belgium,BEL,1984,23396.945
Belgium,BEL,1985,23731.38
Belgium,BEL,1986,26795.002
Belgium,BEL,1987,26953.768
Belgium,BEL,1988,27750.291
Belgium,BEL,1989,27201.467
Belgium,BEL,1990,28022.373
Belgium,BEL,1991,29965.412
Belgium,BEL,1992,30477.2
Belgium,BEL,1993,29899.82
Belgium,BEL,1994,32422.033
Belgium,BEL,1995,32219.842
Belgium,BEL,1996,34796.58
Belgium,BEL,1997,35542.586
Belgium,BEL,1998,35917.113
Belgium,BEL,1999,34605.316
Belgium,BEL,2000,35027.56
Belgium,BEL,2001,35408.625
Belgium,BEL,2002,35397.703
Belgium,BEL,2003,37242.375
Belgium,BEL,2004,37501.477
Belgium,BEL,2005,37081.605
Belgium,BEL,2006,36732.86
Belgium,BEL,2007,36853.79
Belgium,BEL,2008,38393.973
Belgium,BEL,2009,33414.504
Belgium,BEL,2010,34471.863
Belgium,BEL,2011,31993.947
Belgium,BEL,2012,30602.545
Belgium,BEL,2013,31147.732
Belgium,BEL,2014,30322.943
Belgium,BEL,2015,30942.908
Belgium,BEL,2016,31191.07
Belgium,BEL,2017,31399.525
Belgium,BEL,2018,33468.004
Belgium,BEL,2019,31175.795
Belgium,BEL,2020,26568.574
Belgium,BEL,2021,29368.033
Belgium,BEL,2022,27538.754
Brazil,BRA,1965,2100.2444
Brazil,BRA,1966,2228.0889
Brazil,BRA,1967,2238.965
Brazil,BRA,1968,2620.5337
Brazil,BRA,1969,2803.9004
Brazil,BRA,1970,3126.1733
Brazil,BRA,1971,3464.4062
Brazil,BRA,1972,3841.5
Brazil,BRA,1973,4542.788
Brazil,BRA,1974,4918.2134
Brazil,BRA,1975,4950.8955
Brazil,BRA,1976,5209.2124
Brazil,BRA,1977,5182.8486
Brazil,BRA,1978,5543.823
Brazil,BRA,1979,5764.3535
Brazil,BRA,1980,5461.749
Brazil,BRA,1981,5139.3853
Brazil,BRA,1982,5114.96
Brazil,BRA,1983,4666.8013
Brazil,BRA,1984,4556.538
Brazil,BRA,1985,4594.3975
Brazil,BRA,1986,4865.205
Brazil,BRA,1987,4889.818
Brazil,BRA,1988,4803.5776
Brazil,BRA,1989,4831.369
Brazil,BRA,1990,4772.2856
Brazil,BRA,1991,4695.715
Brazil,BRA,1992,4639.69
Brazil,BRA,1993,4758.097
Brazil,BRA,1994,4979.3516
Brazil,BRA,1995,5259.1714
Brazil,BRA,1996,5549.873
Brazil,BRA,1997,5955.009
Brazil,BRA,1998,6094.61
Brazil,BRA,1999,6019.65
Brazil,BRA,2000,6203.8535
Brazil,BRA,2001,6170.595
Brazil,BRA,2002,5972.539
Brazil,BRA,2003,5739.612
Brazil,BRA,2004,5865.9185
Brazil,BRA,2005,5897.709
Brazil,BRA,2006,5967.1987
Brazil,BRA,2007,6202.4087
Brazil,BRA,2008,6393.093
Brazil,BRA,2009,6265.768
Brazil,BRA,2010,6648.6284
Brazil,BRA,2011,6821.0737
Brazil,BRA,2012,7160.553
Brazil,BRA,2013,7292.235
Brazil,BRA,2014,7517.9233
Brazil,BRA,2015,7001.193
Brazil,BRA,2016,6575.916
Brazil,BRA,2017,6590.809
Brazil,BRA,2018,6219.9297
Brazil,BRA,2019,6145.892
Brazil,BRA,2020,5763.4785
Brazil,BRA,2021,6194.4897
Brazil,BRA,2022,6458.953
Bulgaria,BGR,1965,5302.007
Bulgaria,BGR,1966,6002.4937
Bulgaria,BGR,1967,7493.8657
Bulgaria,BGR,1968,8809.621
Bulgaria,BGR,1969,10722.387
Bulgaria,BGR,1970,12354.624
Bulgaria,BGR,1971,13488.966
Bulgaria,BGR,1972,13940.513
Bulgaria,BGR,1973,14609.957
Bulgaria,BGR,1974,15093.841
Bulgaria,BGR,1975,15908.065
Bulgaria,BGR,1976,16454.572
Bulgaria,BGR,1977,17042.982
Bulgaria,BGR,1978,17503.14
Bulgaria,BGR,1979,18002.24
Bulgaria,BGR,1980,18375.219
Bulgaria,BGR,1981,16382.162
Bulgaria,BGR,1982,15888.979
Bulgaria,BGR,1983,15368.384
Bulgaria,BGR,1984,14785.956
Bulgaria,BGR,1985,13697.232
Bulgaria,BGR,1986,14478.807
Bulgaria,BGR,1987,13953.909
Bulgaria,BGR,1988,14865.154
Bulgaria,BGR,1989,14552.375
Bulgaria,BGR,1990,13561.099
Bulgaria,BGR,1991,9103.815
Bulgaria,BGR,1992,8222.206
Bulgaria,BGR,1993,9012.672
Bulgaria,BGR,1994,8579.379
Bulgaria,BGR,1995,8883.578
Bulgaria,BGR,1996,8254.722
Bulgaria,BGR,1997,6550.463
Bulgaria,BGR,1998,7029.444
Bulgaria,BGR,1999,6588.072
Bulgaria,BGR,2000,6267.8457
Bulgaria,BGR,2001,6537.481
Bulgaria,BGR,2002,6620.7847
Bulgaria,BGR,2003,7038.1196
Bulgaria,BGR,2004,6862.3936
Bulgaria,BGR,2005,7592.8687
Bulgaria,BGR,2006,7729.1753
Bulgaria,BGR,2007,7628.5376
Bulgaria,BGR,2008,7539.702
Bulgaria,BGR,2009,6919.0444
Bulgaria,BGR,2010,6307.9746
Bulgaria,BGR,2011,6062.854
Bulgaria,BGR,2012,6352.954
Bulgaria,BGR,2013,5949.9316
Bulgaria,BGR,2014,6471.8984
Bulgaria,BGR,2015,7292.3022
Bulgaria,BGR,2016,7481.424
Bulgaria,BGR,2017,7924.5273
Bulgaria,BGR,2018,7960.1177
Bulgaria,BGR,2019,8425.116
Bulgaria,BGR,2020,7649.037
Bulgaria,BGR,2021,8144.3364
Bulgaria,BGR,2022,9077.011
Canada,CAN,1965,32648.9
Canada,CAN,1966,33769.836
Canada,CAN,1967,35432.406
Canada,CAN,1968,37130.8
Canada,CAN,1969,38107.24
Canada,CAN,1970,39879.496
Canada,CAN,1971,40105.21
Canada,CAN,1972,41594.965
Canada,CAN,1973,44868.527
Canada,CAN,1974,45019.402
Canada,CAN,1975,43793.69
Canada,CAN,1976,44274.52
Canada,CAN,1977,44107.117
Canada,CAN,1978,45057.227
Canada,CAN,1979,46309.9
Canada,CAN,1980,44942.277
Canada,CAN,1981,42044.73
Canada,CAN,1982,37737.54
Canada,CAN,1983,35121.055
Canada,CAN,1984,35118.492
Canada,CAN,1985,34941.426
Canada,CAN,1986,35344.707
Canada,CAN,1987,36034.1
Canada,CAN,1988,37396.82
Canada,CAN,1989,38241.64
Canada,CAN,1990,34812.195
Canada,CAN,1991,32577.115
Canada,CAN,1992,33036.14
Canada,CAN,1993,33088.25
Canada,CAN,1994,33430.58
Canada,CAN,1995,34710.37
Canada,CAN,1996,35202.277
Canada,CAN,1997,35929.906
Canada,CAN,1998,36305.473
Canada,CAN,1999,36696.05
Canada,CAN,2000,36149.336
Canada,CAN,2001,36785.844
Canada,CAN,2002,37770.156
Canada,CAN,2003,38811.15
Canada,CAN,2004,40139.574
Canada,CAN,2005,38666.3
Canada,CAN,2006,38621.01
Canada,CAN,2007,39258.273
Canada,CAN,2008,37485.457
Canada,CAN,2009,36156.03
Canada,CAN,2010,37289.805
Canada,CAN,2011,36947.137
Canada,CAN,2012,37054.625
Canada,CAN,2013,36439.79
Canada,CAN,2014,36002.543
Canada,CAN,2015,35765.547
Canada,CAN,2016,35263.957
Canada,CAN,2017,34484.688
Canada,CAN,2018,35120.293
Canada,CAN,2019,34573.22
Canada,CAN,2020,29112.36
Canada,CAN,2021,29944.723
Canada,CAN,2022,30822.062
Chile,CHL,1965,4559.69
Chile,CHL,1966,4905.5522
Chile,CHL,1967,5032.228
Chile,CHL,1968,5212.424
Chile,CHL,1969,5458.5625
Chile,CHL,1970,5668.22
Chile,CHL,1971,6181.6235
Chile,CHL,1972,6302.8975
Chile,CHL,1973,5958.562
Chile,CHL,1974,5712.5776
Chile,CHL,1975,4929.8145
Chile,CHL,1976,5043.201
Chile,CHL,1977,5164.7886
Chile,CHL,1978,5404.2466
Chile,CHL,1979,5564.427
Chile,CHL,1980,5549.529
Chile,CHL,1981,5460.586
Chile,CHL,1982,4931.533
Chile,CHL,1983,4809.718
Chile,CHL,1984,4678.957
Chile,CHL,1985,4461.4473
Chile,CHL,1986,4642.6797
Chile,CHL,1987,4773.183
Chile,CHL,1988,5191.6724
Chile,CHL,1989,5719.734
Chile,CHL,1990,5947.4106
Chile,CHL,1991,6524.3564
Chile,CHL,1992,6954.546
Chile,CHL,1993,7464.184
Chile,CHL,1994,7896.4697
Chile,CHL,1995,8556.421
Chile,CHL,1996,8961.924
Chile,CHL,1997,9513.148
Chile,CHL,1998,9603.316
Chile,CHL,1999,9597.82
Chile,CHL,2000,9059.223
Chile,CHL,2001,8724.861
Chile,CHL,2002,8773.673
Chile,CHL,2003,8608.164
Chile,CHL,2004,9395.781
Chile,CHL,2005,9595.603
Chile,CHL,2006,9825.121
Chile,CHL,2007,12142.894
Chile,CHL,2008,12669.11
Chile,CHL,2009,11797.905
Chile,CHL,2010,10710.876
Chile,CHL,2011,11009.728
Chile,CHL,2012,11310.037
Chile,CHL,2013,11140.692
Chile,CHL,2014,10938.73
Chile,CHL,2015,10643.151
Chile,CHL,2016,11110.309
Chile,CHL,2017,11105.995
Chile,CHL,2018,11303.919
Chile,CHL,2019,11058.701
Chile,CHL,2020,9976.817
Chile,CHL,2021,10843.529
Chile,CHL,2022,11292.39
China,CHN,1965,178.30101
China,CHN,1966,223.1647
China,CHN,1967,215.10051
China,CHN,1968,229.42209
China,CHN,1969,299.51965
China,CHN,1970,403.68585
China,CHN,1971,535.498
China,CHN,1972,602.30896
China,CHN,1973,719.0853
China,CHN,1974,810.65063
China,CHN,1975,878.6543
China,CHN,1976,989.03613
China,CHN,1977,1030.1941
China,CHN,1978,1127.2045
China,CHN,1979,1114.6345
China,CHN,1980,989.9839
China,CHN,1981,924.0631
China,CHN,1982,899.6231
China,CHN,1983,903.68726
China,CHN,1984,924.07196
China,CHN,1985,953.1807
China,CHN,1986,996.8918
China,CHN,1987,1041.3748
China,CHN,1988,1101.6841
China,CHN,1989,1135.1464
China,CHN,1990,1104.7654
China,CHN,1991,1178.1249
China,CHN,1992,1263.6383
China,CHN,1993,1391.2852
China,CHN,1994,1400.362
China,CHN,1995,1498.6981
China,CHN,1996,1647.0165
China,CHN,1997,1794.751
China,CHN,1998,1834.7166
China,CHN,1999,1941.3574
China,CHN,2000,2078.0774
China,CHN,2001,2108.2466
China,CHN,2002,2260.5503
China,CHN,2003,2509.7595
China,CHN,2004,2913.1116
China,CHN,2005,2941.6228
China,CHN,2006,3135.1848
China,CHN,2007,3264.112
China,CHN,2008,3313.9382
China,CHN,2009,3420.365
China,CHN,2010,3867.767
China,CHN,2011,3972.2583
China,CHN,2012,4137.613
China,CHN,2013,4292.9062
China,CHN,2014,4434.423
China,CHN,2015,4742.6436
China,CHN,2016,4867.4146
China,CHN,2017,5093.451
China,CHN,2018,5317.0728
China,CHN,2019,5566.7607
China,CHN,2020,5603.401
China,CHN,2021,5751.1685
China,CHN,2022,5485.373
Colombia,COL,1965,2999.5857
Colombia,COL,1966,3483.3035
Colombia,COL,1967,3392.7766
Colombia,COL,1968,3554.6633
Colombia,COL,1969,3327.5093
Colombia,COL,1970,3681.165
Colombia,COL,1971,3724.669
Colombia,COL,1972,4301.3667
Colombia,COL,1973,3856.6218
Colombia,COL,1974,4174.149
Colombia,COL,1975,3577.4812
Colombia,COL,1976,3695.1936
Colombia,COL,1977,3699.3018
Colombia,COL,1978,3569.2666
Colombia,COL,1979,3547.3125
